file	source	target	ratio
animals_archeology__NKZAHPVRSC.txt	365	421	1.1534246575342466
animals_art__WKARIKUPKK.txt	388	476	1.2268041237113403
animals_climate__PSVRKNNQPN.txt	422	499	1.1824644549763033
animals_culture__WDKCJQJULA.txt	342	435	1.2719298245614035
animals_democracy__JLHTXBSNOR.txt	424	500	1.179245283018868
animals_fascism__JCETXUPNMS.txt	428	582	1.3598130841121496
animals_forests__MJBNGRJHCK.txt	306	395	1.2908496732026145
animals_humanities__MTQUQNTGRP.txt	303	396	1.306930693069307
animals_music__VNWJMAEBML.txt	304	390	1.2828947368421053
animals_rural_life__FOGLBNBIWU.txt	330	417	1.2636363636363637
animals_socialism__VIHPATITEA.txt	358	438	1.223463687150838
animals_traveling__AQDKEWUSKK.txt	384	448	1.1666666666666667
animals_traveling__UVRZGNNOYI.txt	379	473	1.2480211081794195
animals_traveling__YTUQWEITHO.txt	393	500	1.272264631043257
animals_tyranny__CJQLZGRIUY.txt	484	675	1.3946280991735538
animals_tyranny__GNXHAPTFPM.txt	428	537	1.2546728971962617
animals_urban_life__AKCBLKWKZG.txt	338	420	1.242603550295858
archeology_animals__TSMECEXFFN.txt	285	356	1.249122807017544
archeology_culture__FQJJSUHVHE.txt	318	407	1.279874213836478
archeology_culture__ISTUCHZVZL.txt	346	441	1.2745664739884393
archeology_history__ATSFAXSQCU.txt	335	424	1.2656716417910447
archeology_history__NLTXIZFGRI.txt	304	378	1.243421052631579
archeology_history__OQHATTTKNV.txt	364	448	1.2307692307692308
archeology_oceans__QUHJCJWBCW.txt	335	408	1.217910447761194
archeology_programming__UFOTZSNVMW.txt	360	406	1.1277777777777778
archeology_religion__EZRGMABJBR.txt	316	405	1.2816455696202531
archeology_rural_life__YJQBQIZFFW.txt	341	414	1.2140762463343109
archeology_science__BMONJGUMCK.txt	342	413	1.2076023391812865
archeology_science__PFFXUBEORM.txt	298	369	1.238255033557047
archeology_sports__IZADBQKMVK.txt	346	434	1.254335260115607
archeology_traveling__GNXLQOWVNF.txt	343	427	1.2448979591836735
archeology_urban_life__ZOIWKPPJBS.txt	335	431	1.2865671641791045
art_animals__TDHPZOGEBG.txt	309	390	1.2621359223300972
art_democracy__OZBCCLHYMD.txt	350	427	1.22
art_democracy__VIQXEPHSRX.txt	288	345	1.1979166666666667
art_economy__ITXSDAYIJO.txt	261	314	1.2030651340996168
art_fascism__ANJZLNZBCY.txt	384	472	1.2291666666666667
art_religion__RJFHUIUMGK.txt	292	386	1.321917808219178
art_slavery__HOUNTUHGNJ.txt	350	455	1.3
art_socialism__POJDTGTYNE.txt	349	430	1.2320916905444126
art_spirituality__UBZEVWDFNT.txt	416	562	1.3509615384615385
art_spirituality__XBLCDBUTAE.txt	386	454	1.1761658031088082
art_sports__AGHCLAMYAV.txt	275	341	1.24
art_traveling__TLZHZKFPLY.txt	335	408	1.217910447761194
art_tyranny__RTSGAXVTJA.txt	349	477	1.3667621776504297
art_urban_life__HRNWXBUWGZ.txt	333	436	1.3093093093093093
autocracy_democracy__ALSXEWXAEN.txt	387	463	1.1963824289405685
autocracy_economy__VIAEIDTYVU.txt	344	401	1.1656976744186047
autocracy_forests__KVHCZXKBKY.txt	364	446	1.2252747252747254
autocracy_music__IILBZMICBG.txt	397	438	1.1032745591939546
autocracy_pets__UNRECFHPNR.txt	323	392	1.2136222910216719
autocracy_rural_life__BCRGVGCTAW.txt	319	390	1.2225705329153604
autocracy_rural_life__RFKGOOPWMS.txt	373	487	1.3056300268096515
autocracy_science__ELYMHBJJYM.txt	305	388	1.2721311475409836
autocracy_science__XSAHHEWNXN.txt	326	376	1.1533742331288344
autocracy_tyranny__RDDVMKOQKU.txt	355	446	1.2563380281690142
autocracy_urban_life__NZQFENEQUI.txt	356	419	1.1769662921348314
autocracy_urban_life__VPTPMXRXAM.txt	370	469	1.2675675675675675
capitalism_autocracy__FAQIPVGLLZ.txt	359	392	1.0919220055710306
capitalism_autocracy__WGEVWOQLHR.txt	416	523	1.2572115384615385
capitalism_democracy__HFFTYMBMPE.txt	274	344	1.2554744525547445
capitalism_fascism__GNWRFNHOCO.txt	324	394	1.2160493827160495
capitalism_literature__JNJULQNAFN.txt	411	500	1.2165450121654502
capitalism_religion__CNFMOHKSYC.txt	337	441	1.3086053412462908
capitalism_rural_life__ATXOJHOLOL.txt	398	470	1.1809045226130652
capitalism_spirituality__EQFMQZJGWN.txt	356	424	1.1910112359550562
capitalism_spirituality__SFQJRRGMKC.txt	390	471	1.2076923076923076
capitalism_technology__KQOUDSKTVT.txt	322	414	1.2857142857142858
climate_art__AVTTAIZMFG.txt	403	469	1.163771712158809
climate_art__STPIJAOFFB.txt	353	468	1.3257790368271956
climate_democracy__ZDJOEGPQPS.txt	387	478	1.2351421188630491
climate_economy__TBBWAXTMHO.txt	430	483	1.1232558139534883
climate_fascism__UDTQKDXLOZ.txt	326	390	1.196319018404908
climate_rural_life__NTFKRDQMPY.txt	300	351	1.17
climate_socialism__FZGFLYFKKZ.txt	347	430	1.239193083573487
climate_socialism__XJNCXUUYBP.txt	380	475	1.25
climate_traveling__NNRREHWGGX.txt	334	399	1.1946107784431137
climate_traveling__PALLLCXSPJ.txt	383	441	1.1514360313315928
climate_urban_life__YWZOHMJZPC.txt	418	488	1.167464114832536
culture_animals__FLURAOAQJX.txt	338	419	1.2396449704142012
culture_art__OHPSSQVKCH.txt	348	468	1.3448275862068966
culture_autocracy__BCWAOOJBIV.txt	312	382	1.2243589743589745
culture_economy__WFCNSIVHTO.txt	289	350	1.2110726643598615
culture_finances__CMZFUPGHCV.txt	283	373	1.3180212014134276
culture_forests__RWDRCVVIHS.txt	330	423	1.2818181818181817
culture_sports__BDLXFCGHFE.txt	347	423	1.219020172910663
culture_sports__IAYFIFHSDS.txt	351	417	1.188034188034188
culture_tyranny__FLFEWBYKKD.txt	383	471	1.2297650130548303
democracy_art__EDLQPFNMGK.txt	368	484	1.315217391304348
democracy_autocracy__LXMSEOGQUM.txt	343	423	1.2332361516034986
democracy_autocracy__UWAWVWSNNJ.txt	409	516	1.2616136919315404
democracy_climate__WVENZQRGMH.txt	369	431	1.1680216802168022
democracy_engineerig__XVSOTWELAN.txt	287	366	1.2752613240418118
democracy_engineerig__YTTQIMEOZP.txt	332	406	1.2228915662650603
democracy_fascism__IMEKRFZYGS.txt	364	451	1.239010989010989
democracy_fascism__JLGWTRLKES.txt	349	452	1.2951289398280803
democracy_finances__DKPVZISLXI.txt	478	579	1.211297071129707
democracy_forests__SWTQMOMCHN.txt	355	421	1.1859154929577465
democracy_pets__MJLUQSFTNP.txt	267	335	1.2546816479400749
democracy_philosophy__DASOADCIWL.txt	370	455	1.2297297297297298
democracy_philosophy__PSHFMHNGYT.txt	355	443	1.2478873239436619
democracy_repressions__DWNBBVGMKP.txt	369	472	1.2791327913279134
