file	source	target	ratio
animals_archeology__NKZAHPVRSC.txt	421	343	1.227405247813411
animals_art__WKARIKUPKK.txt	476	364	1.3076923076923077
animals_climate__PSVRKNNQPN.txt	499	431	1.1577726218097448
animals_culture__WDKCJQJULA.txt	435	337	1.2908011869436202
animals_democracy__JLHTXBSNOR.txt	500	407	1.2285012285012284
animals_fascism__JCETXUPNMS.txt	582	436	1.334862385321101
animals_forests__MJBNGRJHCK.txt	395	314	1.2579617834394905
animals_humanities__MTQUQNTGRP.txt	396	313	1.2651757188498403
animals_music__VNWJMAEBML.txt	390	300	1.3
animals_rural_life__FOGLBNBIWU.txt	417	336	1.2410714285714286
animals_socialism__VIHPATITEA.txt	438	350	1.2514285714285713
animals_traveling__AQDKEWUSKK.txt	448	370	1.2108108108108109
animals_traveling__UVRZGNNOYI.txt	473	373	1.2680965147453083
animals_traveling__YTUQWEITHO.txt	500	395	1.2658227848101267
animals_tyranny__CJQLZGRIUY.txt	675	472	1.430084745762712
animals_tyranny__GNXHAPTFPM.txt	537	392	1.3698979591836735
animals_urban_life__AKCBLKWKZG.txt	420	329	1.2765957446808511
archeology_animals__TSMECEXFFN.txt	356	273	1.304029304029304
archeology_culture__FQJJSUHVHE.txt	407	314	1.2961783439490446
archeology_culture__ISTUCHZVZL.txt	441	351	1.2564102564102564
archeology_history__ATSFAXSQCU.txt	424	326	1.3006134969325154
archeology_history__NLTXIZFGRI.txt	378	289	1.3079584775086506
archeology_history__OQHATTTKNV.txt	448	362	1.2375690607734806
archeology_oceans__QUHJCJWBCW.txt	408	330	1.2363636363636363
archeology_programming__UFOTZSNVMW.txt	406	344	1.180232558139535
archeology_religion__EZRGMABJBR.txt	405	317	1.277602523659306
archeology_rural_life__YJQBQIZFFW.txt	414	366	1.1311475409836065
archeology_science__BMONJGUMCK.txt	413	336	1.2291666666666667
archeology_science__PFFXUBEORM.txt	369	288	1.28125
archeology_sports__IZADBQKMVK.txt	434	353	1.2294617563739376
archeology_traveling__GNXLQOWVNF.txt	427	342	1.2485380116959064
archeology_urban_life__ZOIWKPPJBS.txt	431	338	1.2751479289940828
art_animals__TDHPZOGEBG.txt	390	297	1.3131313131313131
art_democracy__OZBCCLHYMD.txt	427	345	1.23768115942029
art_democracy__VIQXEPHSRX.txt	345	270	1.2777777777777777
art_economy__ITXSDAYIJO.txt	314	253	1.2411067193675889
art_fascism__ANJZLNZBCY.txt	472	380	1.2421052631578948
art_religion__RJFHUIUMGK.txt	386	291	1.3264604810996563
art_slavery__HOUNTUHGNJ.txt	455	341	1.3343108504398826
art_socialism__POJDTGTYNE.txt	430	334	1.2874251497005988
art_spirituality__UBZEVWDFNT.txt	562	402	1.3980099502487562
art_spirituality__XBLCDBUTAE.txt	454	370	1.227027027027027
art_sports__AGHCLAMYAV.txt	341	273	1.249084249084249
art_traveling__TLZHZKFPLY.txt	408	320	1.275
art_tyranny__RTSGAXVTJA.txt	477	355	1.343661971830986
art_urban_life__HRNWXBUWGZ.txt	436	330	1.3212121212121213
autocracy_democracy__ALSXEWXAEN.txt	463	366	1.2650273224043715
autocracy_economy__VIAEIDTYVU.txt	401	324	1.2376543209876543
