file	source	target	ratio
animals_culture__LYZQCNSSMT.txt	488	604	1.2377049180327868
animals_democracy__GEWPHYKDRS.txt	546	654	1.1978021978021978
animals_engineerig__PJRUWWDPCQ.txt	703	790	1.12375533428165
animals_humanities__QEBFUHUSLU.txt	535	599	1.1196261682242992
animals_literature__SFSXBRDZRI.txt	491	574	1.1690427698574337
animals_philosophy__OCJCRPRTRR.txt	535	646	1.2074766355140187
animals_technology__NRXSDUTJYL.txt	551	587	1.0653357531760435
animals_weather__PDMCWTAOCU.txt	556	589	1.0593525179856116
archeology_animals__HGBFMPOWJN.txt	529	580	1.0964083175803403
archeology_art__OOEDSEFRQQ.txt	589	691	1.1731748726655349
archeology_autocracy__AEIUARLRIN.txt	486	570	1.1728395061728396
archeology_capitalism__ILCWFGLRTS.txt	513	588	1.1461988304093567
archeology_culture__QJHWGIKTEM.txt	452	535	1.1836283185840708
archeology_engineerig__HDSAFMSHDZ.txt	541	594	1.097966728280961
archeology_humanities__UJFPUGOHRL.txt	545	618	1.1339449541284403
archeology_music__HYTNNWYGKS.txt	562	637	1.1334519572953736
archeology_music__JEBCJYQVRF.txt	489	545	1.114519427402863
archeology_oceans__GWLCECORQS.txt	494	529	1.0708502024291497
archeology_politics__RYKZHUPYJU.txt	517	594	1.148936170212766
archeology_programming__URWEADEKKL.txt	601	669	1.1131447587354408
archeology_rural_life__QCKHEVJDPN.txt	642	719	1.1199376947040498
archeology_rural_life__RNJIXVTRKV.txt	600	664	1.1066666666666667
archeology_science__ZJYDMTLLYL.txt	475	542	1.1410526315789473
archeology_spirituality__LQKHHLWOLN.txt	459	555	1.2091503267973855
art_archeology__KKMDXOPHZJ.txt	458	574	1.2532751091703056
art_capitalism__BBHIUIEIME.txt	541	602	1.11275415896488
art_culture__HXQOZEJAJE.txt	511	564	1.1037181996086105
art_culture__RXAQLAZRBQ.txt	544	678	1.2463235294117647
art_democracy__HDARTSFLVH.txt	493	588	1.1926977687626774
art_economy__ZDFDCDNWFD.txt	533	617	1.1575984990619137
art_engineerig__CDQGNURHOZ.txt	490	577	1.1775510204081632
